Count,Code,Description,Retail,Date,Cost,Supplier,Book,Total,Category,,,,,,,,
63,,820 ohm 1/2 watt,,,,,$0.06,$3.78,14,,,,,,,,
3,,820k ohm 1/2 watt,,,,,$0.06,$0.18,14,,,,,,,,
1,,8.2k ohm 1/2 watt,,,,,$0.06,$0.06,14,,,,,,,,
4,R1797,thermistor,,,,,$2.10,$8.40,14,,,,,,,,
1,,VDR 250V -593 - 8mm,,,,Elcoma,$0.52,$0.52,14,,,,,,,,
1,,100k dual splined large pot,,3/08/2007,$1.00,D/S,$1.00,$1.00,16,,,,,,,,
4,,100 ohm miniature horizontal preset,,,,,$0.50,$2.00,16,,,,,,,,
1,,100 ohm wire wound preset - used,,,$4.00,,$0.10,$0.10,16,,,,,,,,
3,,100k ohm dual splined pot,,,$4.50,,$1.00,$3.00,16,,,,,,,,
18,,100k ohm 20 turn preset,,,$1.50,,$0.10,$1.80,16,,,,,,,,
15,R6834,10k ohm dual linear pot,,,$2.31,,$1.00,$15.00,16,,,,,,,,
20,SP207,10k ohm dual linear pot splined small,,,,TESA,$0.30,$6.00,16,,,,,,,,
5,,10k ohm linear dual pot,,,$4.50,,$1.00,$5.00,16,,,,,,,,
1,,10k ohm linear dual pot,,,$3.55,,$1.00,$1.00,16,,,,,,,,
6,,10k ohm medium horizontal preset,,,,,$0.55,$3.30,16,,,,,,,,
2,,10k ohm medium vertical preset,,,,,$0.55,$1.10,16,,,,,,,,
1,,10k ohm miniature horizontal preset,,,,,$0.77,$0.77,16,,,,,,,,
1,,10k ohm miniature vertical preset,,,,,$0.50,$0.50,16,,,,,,,,
8,,10k ohm linear dual splined pot,,,$2.20,,$1.00,$8.00,16,,,,,,,,
1,,10k ohm single log splined pot,,,,,$1.18,$1.18,16,,,,,,,,
89,PTN010,10k ohm single linear pot - small size,,,,KJP,$0.50,$44.50,16,,,,,,,,
30,SP207,10KA + 10KB + SW car stereo,,,$0.30,TESA,$0.10,$3.00,16,,,,,,,,
1,,1k ohm large vertical preset,,,,,$0.55,$0.55,16,,,,,,,,
19,,1k ohm slider,,,$1.50,,$0.50,$9.50,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
4,,1m ohm miniature horizontal preset,,,,Elcoma,$0.24,$0.96,16,,,,,,,,
,,,,,,,$0.00,$0.00,16,,,,,,,,
